Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
SMAD9,SCN11A,25,1,0,0,25,0,0
FOXP4,DDX46,15,0,1,0,0,15,0
OPRM1,ATF1,62,1,1,1,7,39,16
TRMT2B,OAT,26,0,1,1,0,2,24
PCM1,ABCC9,57,0,1,0,0,56,0
SLC35E3,SFXN1,35,1,1,1,2,26,7
PUS7,FGB,35,0,0,1,0,0,35
SPTBN2,SHOX,16,0,0,1,0,0,16
IPO9,GNAI2,14,1,1,0,1,13,0
HNRNPUL1,COA1,28,1,0,1,2,0,26
GATD1,ARPP19,116,0,0,1,0,0,116
SEPT2,ECT2,15,1,0,1,14,0,1
TMEM8B,KIAA0408,13,1,1,0,1,12,0
XPR1,UNC79,52,1,0,0,52,0,0
SMIM14,DGKH,78,0,0,1,0,0,74
RIPOR2,PLAUR,28,0,0,1,0,0,28
PIGX,ITIH5,14,1,1,0,13,1,0
RSL1D1,IKZF3,37,1,1,0,16,21,0
PNPT1,KLRD1,32,0,0,1,0,0,32
NEK4,ARF3,16,1,0,0,16,0,0
KIF3A,CC2D1B,14,1,1,0,13,1,0
SLC12A6,CAMK1D,51,1,1,1,49,1,1
PGPEP1,HP1BP3,117,1,0,0,117,0,0
ZDHHC3,SUPT7L,19,1,0,0,19,0,0
ZNF174,AK7,17,0,1,0,0,17,0
ZC3H12B,CCSER2,81,1,0,1,1,0,80
ZNF793,CEP68,22,0,1,1,0,2,20
PKD1L1,HYAL1,259,1,1,1,136,74,49
GATD1,C19orf47,50,1,0,0,49,0,0
ZNF805,TRMT2B,52,1,1,0,42,9,0
VPS4B,ARID3A,26,0,1,0,0,26,0
ZNF283,SLC35E3,20,1,1,0,6,14,0
DTWD2,AK3,37,0,1,0,0,37,0
OLFML2B,NUBPL,20,1,0,0,20,0,0
TERF1,ABCC11,32,0,1,0,0,32,0
PLEKHA2,GTF2E1,26,1,0,0,26,0,0
TPGS2,MFAP5,19,1,0,0,19,0,0
TMED10,CD84,18,1,1,0,4,14,0
GNG8,FBLIM1,30,1,1,0,23,7,0
TTN,AP1S3,24,0,0,1,0,0,24
LYPD4,LOC112267983,76,1,0,1,21,0,55
RPS6KA5,LYRM9,35,0,1,0,0,35,0
MAVS,EFCAB8,15,0,0,1,0,0,15
SGK3,MDM4,14,1,1,0,13,1,0
ZNF788P,POU2AF1,142,0,1,0,0,142,0
REPS2,FEZ1,13,0,0,1,0,0,13
OPRM1,CENPI,120,1,1,0,119,1,0
ODF2L,GPR141,1115,1,1,1,488,264,363
SIRT5,NUBPL,14,1,1,1,4,1,9
OGFOD1,NF2,69,1,0,1,68,0,1
CNN2,AFAP1L1,14,1,0,0,14,0,0
TMTC1,PDE6B,21,1,0,1,19,0,2
CYB5R3,C5orf22,37,0,1,0,0,37,0
ZSCAN2,SKP2,15,0,0,1,0,0,15
GPR141,GLIPR1L2,263,1,1,1,110,104,49
ZFAND2A,EXPH5,23,1,0,0,23,0,0
OSBPL2,NSL1,15,0,1,1,0,1,14
TATDN3,HMGCS1,95,1,1,0,43,52,0
KCMF1,ARMC10,16,0,0,1,0,0,16
ZNF669,PSTPIP2,19,1,0,1,18,0,1
PLA2G16,ANAPC16,14,0,0,1,0,0,14
RAPH1,LRRC2,40,0,0,1,0,0,40
SHROOM1,IFNLR1,27,1,1,0,26,1,0
SPATS2,IFNLR1,15,1,0,0,15,0,0
MTIF2,ADAR,56,0,1,0,0,56,0
ZNF674,MTFR1,31,1,0,0,31,0,0
ZNF397,RAB3B,21,1,0,0,21,0,0
SLC14A2,ARNTL2,79,1,0,0,79,0,0
ZNF286A,TAPBP,23,1,0,1,22,0,1
ZSCAN22,POM121,63,0,0,1,0,0,63
MDM4,FBXL20,36,0,1,0,0,35,0
SNAPC5,SGTB,21,0,0,1,0,0,21
XIAP,TIPIN,15,1,1,1,2,3,10
KCNN2,GABRG3,13,1,1,0,6,7,0
VDAC2,OGDH,21,1,0,0,21,0,0
PLEKHB2,EPHA6,24,0,1,1,0,1,23
PAFAH2,CD300LG,38,0,1,1,0,35,3
SREK1IP1,RNASEH1,13,1,0,0,13,0,0
RNF165,P3H4,24,1,0,0,24,0,0
MS4A10,FSD2,16,1,1,1,13,2,1
SRD5A3,PLAC8,17,1,0,0,17,0,0
TBC1D24,CLMP,57,1,1,0,8,49,0
SMYD4,ARIH2,23,1,1,1,3,6,14
SLC25A37,HEATR5A,13,0,0,1,0,0,13
RASA4,PLEKHM3,44,0,0,1,0,0,44
PRR11,MIPOL1,16,1,1,0,2,14,0
UBAP1L,NABP2,23,1,1,0,22,1,0
OPA3,IRF1,15,1,0,0,15,0,0
SUGT1,FAM153A,25,1,1,0,1,24,0
RGS3,PRPF18,30,1,0,0,30,0,0
PPIAL4G,PPIA,20,1,1,0,18,2,0
ZNF286A,GRK3,17,1,0,0,17,0,0
SLAMF7,CPPED1,13,1,0,0,13,0,0
UVSSA,METTL8,36,1,1,0,7,29,0
SRSF8,FCN1,14,0,1,0,0,14,0
TRIM38,PCDHA9,21,0,1,0,0,21,0
PSTPIP2,FGFR1OP,17,0,1,0,0,17,0
BRIP1,AP5B1,15,1,1,0,14,1,0
MDM4,LOC107984751,54,1,0,1,33,0,21
CLEC2D,BLNK,47,1,0,1,36,0,11
PARD6B,LINS1,15,0,1,0,0,15,0
EMC1,CAMK1D,13,1,1,0,4,9,0
KLRD1,GEMIN8,72,1,0,1,53,0,19
SLC5A5,BIRC6,14,1,0,0,14,0,0
NCAM2,MGAT3,22,0,1,1,0,21,1
DGKH,COLGALT1,100,0,1,0,0,100,0
NFKBID,CERS5,13,1,0,1,8,0,5
TMEM56,GALNT15,21,1,1,0,20,1,0
SERPINB9,SEC61A2,40,1,0,0,40,0,0
SPRED1,RBL1,29,1,1,0,27,2,0
ZNF438,LOC112268342,26,1,1,0,1,25,0
TUBGCP4,TAF8,44,0,1,0,0,44,0
FLG2,FBLIM1,22,0,1,1,0,21,1
SLC7A5,MSMO1,16,1,0,0,16,0,0
ZSCAN12,MARVELD3,15,1,0,0,15,0,0
TERF1,CNOT10,57,0,1,0,0,57,0
SPC25,ACBD7,65,1,1,1,22,30,13
FBXO44,DDX58,25,1,0,0,25,0,0
SLC44A5,NATD1,20,0,1,0,0,20,0
LRRC28,FGF5,16,1,0,0,16,0,0
GOLGA3,EPHA6,20,1,0,1,13,0,7
MARVELD2,CDC20B,18,0,1,0,0,18,0
NRG4,LIMS4,16,1,0,0,16,0,0
SASH1,LRRC27,49,1,0,1,25,0,24
ORAI2,ECT2,14,1,1,1,4,7,3
TXNDC11,CLTC,32,0,0,1,0,0,32
TUBD1,CCER2,17,1,1,0,16,1,0
LRRC28,EPB41,87,0,1,1,0,18,66
SEMA4F,NATD1,13,0,1,0,0,13,0
ZFP30,SH3D19,19,1,0,1,12,0,7
ZSCAN22,EXPH5,130,1,1,0,98,32,0
GPR155,BMPR2,20,1,1,0,2,18,0
SLC30A6,DFFB,36,1,1,1,21,14,1
PPIF,IREB2,20,1,0,0,20,0,0
SPDYE2B,ENAH,25,0,1,1,0,1,24
GLP2R,ETFBKMT,26,0,0,1,0,0,26
CCM2,CBFA2T2,33,1,0,0,33,0,0
NSD2,CYB5D2,18,1,0,0,18,0,0
RASGRP2,CYBA,17,1,0,0,17,0,0
KLRD1,KANK1,36,1,0,0,36,0,0
NUP107,DCUN1D2,27,1,1,0,21,6,0
ZKSCAN3,SHOX,20,1,1,0,16,4,0
GPATCH2L,GDI2,15,1,0,0,15,0,0
SEMA3E,CTSB,15,0,0,1,0,0,15
NOL9,IRAK4,80,1,0,1,1,0,79
FAM161A,FAM114A1,29,1,0,0,29,0,0
RASSF4,FMN1,42,1,0,0,42,0,0
ZNF273,TMEM191B,23,0,1,0,0,23,0
RABL2A,APPL1,86,0,0,1,0,0,86
TET1,ACOT9,15,1,0,0,15,0,0
PLA2G4C,GALNTL5,25,1,0,0,25,0,0
FZR1,CFLAR,20,0,0,1,0,0,20
POFUT1,KCND3,17,0,0,1,0,0,17
SPAG9,PAN3,24,0,0,1,0,0,24
HENMT1,CARD6,19,0,1,0,0,19,0
MINDY2,ATG13,68,0,0,1,0,0,68
ATF7IP,ADAT1,19,1,0,0,19,0,0
SGCE,MIGA1,95,0,0,1,0,0,95
TES,DDX46,21,0,0,1,0,0,21
NUP43,KANSL1L,15,1,1,0,14,1,0
TUBD1,FUT6,20,1,0,1,1,0,19
TLCD2,EML6,55,0,1,0,0,55,0
TRMO,NDST3,13,1,0,0,13,0,0
PPARG,KIAA0513,67,1,0,0,67,0,0
PRXL2A,LOC101929322,17,0,1,0,0,17,0
ORAI2,AS3MT,15,1,0,1,1,0,14
VSTM4,UBN2,17,0,0,1,0,0,17
SLC43A2,KBTBD12,57,1,0,1,52,0,5
SFI1,ANKRD12,32,1,1,1,5,8,19
XPR1,RSPH3,14,0,0,1,0,0,14
ZNF81,PARP16,14,0,1,0,0,14,0
VPS13C,LYRM7,49,1,0,0,49,0,0
SLC43A2,PHACTR4,36,1,1,1,5,4,27
SMCO2,PIGX,15,0,1,0,0,15,0
HIP1,GFOD2,21,1,0,1,14,0,7
ZNF836,CCL5,19,1,0,0,19,0,0
TMEM241,PIAS2,22,1,1,0,21,1,0
SMIM31,CDHR3,28,0,0,1,0,0,28
NRIP3,MAK,17,1,0,0,17,0,0
PPM1K,CAMK1D,19,0,1,0,0,19,0
OR4F16,MYORG,26,0,1,0,0,26,0
NDUFAF7,FAM217B,16,1,0,0,16,0,0
KCNN2,GBP5,58,1,1,1,28,20,10
NMNAT1,ALDH5A1,15,1,0,0,15,0,0
TOX4,PTPN14,16,1,0,0,16,0,0
STAT2,ENAH,114,1,0,0,114,0,0
PSTPIP2,CCBE1,42,1,0,0,42,0,0
ZNF141,PIDD1,27,1,0,1,24,0,3
SIGLEC11,FGFR1OP,16,1,1,0,2,14,0
VSIG1,LRCH3,31,1,1,0,3,28,0
RAB42,MOB4,14,0,0,1,0,0,14
VPS53,SLC6A4,14,1,1,1,3,1,10
UBE2G2,DPY19L4,13,1,0,1,2,0,11
TXNDC11,STXBP5L,22,1,0,1,2,0,20
PPA2,ART4,17,0,0,1,0,0,17
FUT2,DCPS,15,1,1,0,13,2,0
ISG20L2,DENND6B,50,1,1,0,2,48,0
DFFB,AKIRIN1,40,1,0,0,40,0,0
XRCC2,GRIK2,20,1,1,1,11,2,7
PHACTR4,PCDHA9,19,1,0,1,11,0,8
SLC35E3,GSDMA,16,1,0,1,6,0,10
SF3B3,FAM114A1,13,0,1,0,0,13,0
TOR1AIP2,C1orf52,16,1,1,0,4,12,0
PLAC8,ACTR3C,36,1,1,0,1,35,0
NPIPB9,NPIPA2,203,1,1,1,166,16,21
ZNF841,SEC14L6,18,1,0,0,18,0,0
UBE2E2,TMEM241,76,1,1,1,12,52,12
SLC30A6,AP3M1,26,1,0,1,1,0,25
TRPM6,TNFSF4,14,1,0,1,1,0,13
ZNF548,TNFAIP8L1,13,1,0,0,13,0,0
SLC35A3,LOC101929805,30,1,0,0,30,0,0
SLC25A35,PDE1C,131,1,1,0,5,126,0
TRMO,STT3A,14,1,0,0,14,0,0
LRRC47,ERCC6L2,13,0,1,0,0,13,0
NDEL1,AP4S1,94,0,1,0,0,94,0
PARP16,LAIR1,27,1,1,0,14,13,0
NUBPL,HMGB1,20,0,1,0,0,20,0
ZHX3,ANKRD26,14,1,1,0,12,2,0
ZNF875,DENND2A,14,1,1,0,2,12,0
HPSE,CEP97,24,0,0,1,0,0,24
SLC19A3,FBXO45,20,0,1,0,0,20,0
RAET1E,MTG2,14,0,0,1,0,0,14
SMIM17,METTL6,22,1,1,1,17,3,2
RNF165,DGKH,28,1,0,0,28,0,0
NLRP8,MYNN,13,1,0,0,13,0,0
IDE,DKK4,13,1,0,0,13,0,0
ERICH6,DSN1,26,0,0,1,0,0,26
EMP2,DENND6A,24,1,1,1,2,21,1
MPV17L,ING5,24,0,1,0,0,24,0
STEAP2,SKP2,26,1,1,0,25,1,0
RPL19,BTD,15,0,1,1,0,6,9
USP46,KREMEN1,23,1,0,0,23,0,0
NDRG3,ACOX1,21,1,0,0,21,0,0
SLC12A6,FGFR1,190,1,1,0,189,1,0
LPP,CYBC1,137,0,0,1,0,0,137
TMEM232,KDSR,20,1,1,0,19,1,0
GSTO2,CCSER1,15,1,1,1,2,1,12
VSTM4,TCP11L1,47,1,0,0,45,0,0
CAMK2G,ASCC1,19,0,0,1,0,0,19
GGPS1,FBLIM1,29,1,0,0,29,0,0
PPP1R3B,POC1B-GALNT4,20,1,1,0,19,1,0
SGCE,ABCA9,14,1,0,0,14,0,0
SMAGP,DENND5B,45,1,0,0,45,0,0
TNFAIP8L1,CLSPN,48,1,0,1,47,0,1
LRRC8E,CHDH,42,1,1,0,2,40,0
POU5F1,ETFBKMT,27,0,1,1,0,2,25
SKA1,JAK3,14,1,1,1,2,11,1
SHROOM1,MKNK1,40,1,1,1,16,22,2
ZFP14,PLEKHB2,15,1,1,0,1,14,0
MLXIP,LOC107985416,19,1,1,0,18,1,0
PDE7A,MMS22L,20,0,1,0,0,20,0
GK5,CTSB,20,0,1,1,0,3,17
UBOX5,EXOSC2,13,1,1,0,11,2,0
RPS6KA6,CEP78,15,0,1,0,0,15,0
PLEKHA5,CPNE8,106,1,1,1,67,36,3
OR7D2,BLOC1S2,19,1,0,0,19,0,0
TPM3,MAGEA10,61,0,0,1,0,0,61
OGFRL1,NYAP2,18,0,1,0,0,18,0
SPATS2,EYA3,44,1,1,0,43,1,0
TRAPPC2,SLC30A10,23,1,0,0,23,0,0
ZNF536,FUT1,14,1,0,0,14,0,0
WIPI1,HIGD1A,16,1,1,0,15,1,0
ZNF2,ALDH6A1,20,0,1,0,0,20,0
ZNF101,HPCAL1,18,0,0,1,0,0,18
TNFRSF10B,TK2,13,1,0,0,13,0,0
YAF2,TRMT9B,45,1,0,0,45,0,0
LOC100130451,H6PD,18,0,0,1,0,0,18
SLAMF7,RUBCN,13,1,0,0,13,0,0
TMEM170B,TFDP2,48,1,0,1,27,0,21
ZMAT3,GPATCH8,22,1,1,1,2,4,16
SAR1B,AFAP1L1,19,1,0,0,19,0,0
SPPL2B,RFT1,13,0,1,0,0,13,0
IKZF3,ARID4B,34,1,0,0,34,0,0
L3MBTL4,CHP2,68,1,1,1,22,23,23
IRAK4,ATP9B,28,1,1,1,2,6,20
RBMS2,GPR65,24,1,0,0,24,0,0
RASGRF2,OGFRL1,20,1,0,0,20,0,0
HACD2,FNBP1,18,0,1,0,0,18,0
CXorf56,ARCN1,18,1,1,0,12,6,0
SLC31A2,CNNM3,17,0,0,1,0,0,17
SEC14L6,C1orf216,14,0,0,1,0,0,14
STON2,MRPS25,30,0,0,1,0,0,30
C14orf132,BRIP1,32,1,0,0,32,0,0
SSBP2,SLC4A8,68,1,0,1,64,0,4
TP53AIP1,IFT46,53,1,0,0,53,0,0
NUBPL,MAP2K6,26,1,0,0,26,0,0
SMYD5,IFT22,22,1,0,0,22,0,0
NLRC3,LRPAP1,28,0,0,1,0,0,28
QTRT2,EPM2A,20,1,0,1,18,0,2
KLB,CARF,23,1,0,0,23,0,0
CBFA2T2,AAK1,13,1,1,0,12,1,0
MYORG,HSPA12A,19,1,1,1,17,1,1
RAB33B,PLEKHG2,15,1,0,0,15,0,0
ZFP14,SRR,17,1,0,0,17,0,0
RBL1,LOC107984341,16,1,1,0,4,12,0
P4HA2,LRRC27,99,1,1,1,65,31,3
SYNJ1,POLH,30,1,1,1,24,1,5
SENP8,C19orf47,28,1,1,1,3,24,1
SENP8,DDA1,17,1,0,0,17,0,0
QPCTL,IFT22,25,0,0,1,0,0,25
SERPINB9,EIF4E,48,1,1,0,37,9,0
SLC25A37,MKLN1,27,1,0,1,2,0,25
PPP6R3,NUP43,17,1,0,0,17,0,0
TSPAN31,IKZF3,63,0,0,1,0,0,63
OCLN,ADAT1,18,0,0,1,0,0,18
SEH1L,FBXL18,18,1,1,1,8,4,6
ZNF34,ELMOD1,36,1,1,1,1,20,15
USF3,CYREN,13,0,0,1,0,0,13
SPTY2D1,EPB41,32,1,0,0,32,0,0
RHD,FAM114A1,13,0,0,1,0,0,13
ZNF536,SLX4IP,50,0,0,1,0,0,50
XPR1,SPECC1,34,1,0,1,6,0,28
PCM1,EPB41,21,1,0,0,21,0,0
C11orf58,ARHGEF28,28,0,1,0,0,28,0
TBC1D24,SRR,22,1,0,1,3,0,19
UBAP1,TCP11L1,17,1,0,1,13,0,4
ZNF527,ABHD11,60,1,0,0,60,0,0
LILRB4,LILRB2,44,0,0,1,0,0,44
GREB1,ACOT9,13,1,1,1,1,2,10
GATD1,DGKH,57,1,0,0,54,0,0
MAVS,EIF4E,15,1,1,0,2,13,0
ZSCAN22,ATG12,27,0,0,1,0,0,27
SGSM1,ATL3,21,0,0,1,0,0,21
ZNF43,ERGIC2,21,0,0,1,0,0,21
XIAP,CFAP97,34,1,0,0,34,0,0
KIAA1324,GGT6,91,1,1,0,90,1,0
UBXN2B,COA1,50,1,0,0,50,0,0
ZBTB8A,NR5A2,34,0,1,0,0,34,0
SIGLEC6,POC1B-GALNT4,30,0,1,0,0,30,0
TMEM33,MIGA1,17,0,1,1,0,16,1
XKR9,SNX19,69,1,1,1,32,3,34
KCMF1,HAUS4,29,0,1,0,0,29,0
SETD5,CFLAR,49,1,0,0,48,0,0
SNX27,FCRL1,145,0,0,1,0,0,145
P4HA2,KIAA1143,53,1,1,1,42,10,1
RPS6KA3,ASB6,23,1,0,0,23,0,0
GREB1,APOL2,47,1,1,0,46,1,0
SSBP2,GALNT15,34,0,1,1,0,2,32
CTRC,CBLL1,32,0,1,0,0,32,0
ZNF805,SYNRG,54,1,0,0,54,0,0
IKZF3,FLT1,18,1,1,0,15,3,0
KCP,GPSM2,58,1,0,0,58,0,0
PLEKHM3,EOGT,27,0,0,1,0,0,27
SETMAR,METTL21A,84,0,1,0,0,84,0
SPDYE2B,DENND5B,20,0,0,1,0,0,20
P4HA2,MIB1,16,1,1,0,1,15,0
LOC102723722,ENTPD1,16,0,0,1,0,0,16
ZNF536,PRKAG2,13,1,1,0,4,9,0
MIGA1,APOBEC3A,28,0,1,0,0,28,0
LRCH3,KDELC2,20,0,0,1,0,0,19
NR2C1,MMS19,16,0,0,1,0,0,16
LILRB1,AS3MT,49,0,0,1,0,0,49
PHACTR4,JMJD6,39,1,1,0,37,2,0
FBLIM1,COA1,85,0,0,1,0,0,82
TFDP2,GK5,78,1,0,0,78,0,0
TRPM7,LYRM7,22,1,1,0,20,2,0
MCUR1,ACER3,36,1,0,0,36,0,0
ENTPD1,EEF2K,41,0,1,0,0,37,0
ZBTB8A,PRELID2,19,1,1,1,3,14,2
TERF2,FAM213A,32,1,0,1,3,0,29
DCLRE1C,C3orf35,21,1,0,0,21,0,0
NUGGC,MAP3K7CL,27,0,0,1,0,0,27
PHACTR4,GPR155,34,0,1,1,0,3,30
CLPX,ATL2,19,1,0,0,19,0,0
IMPG2,HAUS2,17,1,1,0,3,14,0
PLEKHH1,HAUS5,98,1,1,0,36,62,0
WDR31,AK3,43,1,1,1,12,2,29
ZNF492,EPHA6,25,1,1,0,5,20,0
CARF,ATL2,33,0,0,1,0,0,33
CXorf38,CPAMD8,14,0,1,0,0,14,0
YES1,NOL9,58,1,1,1,42,9,7
SERF1B,HMGB1,25,1,0,0,25,0,0
STK4,AKAP9,61,1,1,0,60,1,0
FAM213A,ARSA,13,1,1,0,12,1,0
LOC105377310,DBF4B,31,0,1,0,0,31,0
TRIM52,ABHD11,18,0,1,0,0,18,0
ZNF260,KIAA1671,32,1,1,0,30,2,0
ZNF570,CCDC198,27,0,0,1,0,0,27
SLC9A7,PIGO,16,0,1,1,0,6,10
LOC107987070,LOC107987067,197,1,1,0,175,22,0
SLC26A5,PCDH11Y,15,1,1,1,11,1,3
ORC1,MED18,21,0,0,1,0,0,21
SHROOM1,LOC107984314,14,1,0,0,14,0,0
UBE2W,GTF2H3,16,0,0,1,0,0,16
ARIH2OS,AK3,33,1,1,0,30,3,0
